"File","Match"
"about.html","hedge trimming"
"about.html","pruning"
"index.backup.20251102-131801.html","hedge trimming"
"index.backup.20251102-131801.html","pruning"
"index.backup.html","hedge trimming"
"index.backup.html","pruning"
"policies.html","pruning"
"pricing.html","hedge trimming"
"pricing.html","pruning"
"refunds.html","deposit"
"services.html","hedge trimming"
"services.html","pruning"
"assets/favicons/about.html","hedge trimming"
"assets/favicons/about.html","pruning"
"assets/favicons/index.backup.20251102-131801.html","hedge trimming"
"assets/favicons/index.backup.20251102-131801.html","pruning"
"assets/favicons/index.backup.html","hedge trimming"
"assets/favicons/index.backup.html","pruning"
"assets/favicons/index.html","hedge trimming"
"assets/favicons/index.html","pruning"
"assets/favicons/policies.html","pruning"
"assets/favicons/pricing.html","hedge trimming"
"assets/favicons/pricing.html","pruning"
"assets/favicons/services.html","hedge trimming"
"assets/favicons/services.html","pruning"
